EXPECTATION,CALL_MAN,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT,EXACT_RANGE_EXP_2,
0,0,0,524300,45700,
0,0,0,524300,45700,
0,0,0,526100,43900,
0,0,0,526100,43900,
0,0,0,526700,43300,
0,0,0,526100,43900,
0,0,0,520700,49300,
0,0,0,520700,49300,
0,0,0,520700,49300,
0,0,0,521300,48700,
0,0,0,520700,49300,
0,0,0,520700,49300,
0,0,0,518900,51100,
0,0,0,518900,51100,
0,0,0,524900,45100,
0,0,0,525500,44500,
0,0,0,523700,46300,
0,0,0,529100,40900,
0,0,0,529100,40900,
0,0,0,529700,40300,
0,0,0,529100,40900,
0,0,0,527300,42700,
0,0,0,527300,42700,
0,0,0,534500,35500,
0,0,0,540500,29500,
0,0,0,537500,32500,
0,0,0,537500,32500,
0,0,0,537500,32500,
0,0,0,544700,25300,
0,0,0,545300,24700,
0,0,0,544700,25300,
0,0,0,544700,25300,
0,0,0,550100,19900,
0,0,0,550100,19900,
0,0,0,544100,25900,
0,0,0,543500,26500,
0,0,0,543500,26500,
0,0,0,543500,26500,
0,0,0,543500,26500,
0,0,0,543200,26800,
0,0,0,549200,20800,
0,0,0,556400,13600,
0,0,0,561800,8200,
0,0,0,561800,8200,
0,0,0,558200,11800,
0,0,0,557600,12400,
0,0,0,557600,12400,
0,0,0,563000,7000,
0,0,0,556000,14000,
0,0,0,555700,14300,
0,0,0,570000,0,
