EXPECTATION,EXPECTATION_RAISE_LIMIT_24,SIMPLE_RANGE_EXP_IMP,EXPECTATION_RAISE_LIMIT_2,EXACT_RANGE_EXP_2,
0,0,0,323600,246400,
0,0,0,321200,248800,
0,0,0,324800,245200,
0,0,0,330200,239800,
0,0,0,323000,247000,
0,0,0,323600,246400,
0,0,0,323000,247000,
0,0,0,330200,239800,
0,0,0,323000,247000,
0,0,0,323000,247000,
0,0,0,322700,247300,
0,0,0,323300,246700,
0,0,0,321500,248500,
0,0,0,321500,248500,
0,0,0,319700,250300,
0,0,0,320300,249700,
0,0,0,320900,249100,
0,0,0,320900,249100,
0,0,0,324500,245500,
0,0,0,324500,245500,
0,0,0,324200,245800,
0,0,0,316700,253300,
0,0,0,309500,260500,
0,0,0,305900,264100,
0,0,0,313100,256900,
0,0,0,307100,262900,
0,0,0,321600,248400,
0,0,0,321600,248400,
